query,module,sink_file,sink_line
"Path traversal","bookimport","/bookimport/contrib/outline.php","21"
"Code injection","betterupload","/betterupload/file.inc","74"
"Path traversal","backup_migrate","/backup_migrate/src/Core/Destination/DirectoryDestination.php","94"
"Path traversal","backup_migrate","/backup_migrate/src/Core/Destination/DirectoryDestination.php","238"
"Path traversal","backup_migrate","/backup_migrate/src/Core/File/ReadableStreamBackupFile.php","87"
"Path traversal","backup_migrate","/backup_migrate/src/Core/File/TempFileAdapter.php","74"
"Path traversal","backup_migrate","/backup_migrate/src/Core/File/ReadableStreamBackupFile.php","201"
"Path traversal","backup_migrate","/backup_migrate/src/Core/File/WritableStreamBackupFile.php","41"
"Path traversal","backup_migrate","/backup_migrate/src/Core/File/WritableStreamBackupFile.php","62"
"Path traversal","backup_migrate","/backup_migrate/src/Core/Filter/CompressionFilter.php","240"
"Path traversal","backup_migrate","/backup_migrate/src/Core/Filter/CompressionFilter.php","299"
"Path traversal","backup_migrate","/backup_migrate/src/Core/Service/TarArchiveWriter.php","51"
"Path traversal","backup_migrate","/backup_migrate/src/Drupal/Filter/DrupalEncrypt.php","107"
"Path traversal","backup_migrate","/backup_migrate/src/Entity/Schedule.php","145"
"Path traversal","banner","/banner/banner_file.php","20"
"Path traversal","banner","/banner/banner_file.php","42"
"Code injection","commerce","/commerce/modules/product/src/ProductVariationFieldRenderer.php","44"
"Command injection","cvslog","/cvslog/xcvs/xcvs-loginfo.php","151"
"File inclusion","cvslog","/cvslog/xcvs/xcvs-config.php","267"
"Reflected XSS","democratica","/democratica/page.tpl.php","27"
"SQL injection","drupalvb","/drupalvb/drupalvb.inc","71"
"SQL injection","email_verify","/email_verify/email_verify.check.inc","218"
"SQL injection","email_verify","/email_verify/email_verify.check.inc","268"
"Command injection","drutex","/drutex/drutex_remote.inc","355"
"Path traversal","dropzonejs","/dropzonejs/tests/src/Kernel/DropzoneJsUploadControllerTest.php","98"
"Path traversal","email_verify","/email_verify/email_verify.inc","573"
"Reflected XSS","domain","/domain/domain_source/src/HttpKernel/DomainSourceRouteProvider.php","32"
"Path traversal","feeds","/feeds/src/Result/RawFetcherResult.php","64"
"Reflected XSS","filebrowser_extensions","/filebrowser_extensions/filebrowser-popup.tpl.inc","32"
"Reflected XSS","filebrowser_extensions","/filebrowser_extensions/filebrowser-popup.tpl.inc","34"
"Reflected XSS","filebrowser_extensions","/filebrowser_extensions/filebrowser-popup.tpl.inc","38"
"Reflected XSS","filebrowser_extensions","/filebrowser_extensions/filebrowser-popup.tpl.inc","48"
"Server-side request forgery","flickrhood","/flickrhood/lib/phpFlickr/phpFlickr.php","494"
"Code injection","g2","/g2/src/Form/SettingsForm.php","734"
"File inclusion","gallery","/gallery/gallery_base.inc","80"
"Path traversal","gallery","/gallery/gallery_install.inc","1024"
"Path traversal","gallery","/gallery/gallery_settings.inc","1097"
"Code injection","go","/go/includes/go.hooks.form.inc","14"
"Reflected XSS","gdata","/gdata/extras/info.php","49"
"Unsafe deserialization","coolfilter","/coolfilter/phprpc_server.php","195"
"Server-side request forgery","coolfilter","/coolfilter/phprpc_client.php","146"
"Server-side request forgery","coolfilter","/coolfilter/phprpc_client.php","149"
"Reflected XSS","coolfilter","/coolfilter/coolplayer.php","22"
"Reflected XSS","coolfilter","/coolfilter/coolplayer.php","51"
"Reflected XSS","coolfilter","/coolfilter/phprpc_server.php","72"
"Reflected XSS","coolfilter","/coolfilter/phprpc_server.php","251"
"Reflected XSS","coolfilter","/coolfilter/phprpc_server.php","254"
"Reflected XSS","coolfilter","/coolfilter/phprpc_server.php","317"
"Code injection","imce","/imce/src/ImceFM.php","374"
"Code injection","import_html","/import_html/import_html_process.inc","569"
"Command injection","import_html","/import_html/coders_php_library/tidy-functions.inc","177"
"Command injection","import_html","/import_html/coders_php_library/tidy-functions.inc","183"
"Server-side request forgery","imce","/imce/src/ImceItem.php","111"
"Path traversal","image_pub","/image_pub/image_pub.common.inc","183"
"Path traversal","imce","/imce/src/Imce.php","277"
"Path traversal","imce","/imce/src/Imce.php","347"
"Path traversal","imce","/imce/src/ImceFM.php","480"
"Path traversal","imce","/imce/src/Plugin/ImcePlugin/Delete.php","146"
"Path traversal","imce","/imce/src/Plugin/ImcePlugin/Delete.php","149"
"Path traversal","imce","/imce/src/Plugin/ImcePlugin/Newfolder.php","58"
"Path traversal","import_html","/import_html/coders_php_library/tidy-functions.inc","106"
"Path traversal","import_html","/import_html/coders_php_library/tidy-functions.inc","141"
"Path traversal","import_html","/import_html/coders_php_library/tidy-functions.inc","167"
"Path traversal","import_html","/import_html/coders_php_library/tidy-functions.inc","201"
"Path traversal","import_html","/import_html/coders_php_library/xml-transform.inc","74"
"Path traversal","import_html","/import_html/coders_php_library/xml-transform.inc","83"
"Path traversal","import_html","/import_html/import_html_process.inc","252"
"Path traversal","import_html","/import_html/import_html_process.inc","321"
"Path traversal","import_html","/import_html/import_html_process.inc","344"
"Path traversal","import_html","/import_html/import_html_process.inc","631"
"Path traversal","import_html","/import_html/import_html_process.inc","667"
"Path traversal","import_html","/import_html/import_html_process.inc","758"
"Path traversal","import_html","/import_html/import_html_ui.inc","2252"
"Reflected XSS","image_pub","/image_pub/image_pub.gr.inc","141"
"Reflected XSS","import_html","/import_html/coders_php_library/debug.inc","33"
"Reflected XSS","import_html","/import_html/coders_php_library/debug.inc","50"
"Reflected XSS","import_html","/import_html/coders_php_library/xml-transform.inc","58"
"Reflected XSS","import_html","/import_html/coders_php_library/xml-transform.inc","113"
"Reflected XSS","import_html","/import_html/import_html_process.inc","611"
"Reflected XSS","import_html","/import_html/import_html_process.inc","982"
"Reflected XSS","import_html","/import_html/import_html_process.inc","1525"
"Reflected XSS","import_html","/import_html/import_html_ui.inc","1423"
"Reflected XSS","import_html","/import_html/import_html_ui.inc","1611"
"Reflected XSS","import_html","/import_html/import_html_process.inc","1812"
"Code injection","inline_entity_form","/inline_entity_form/src/ElementSubmit.php","109"
"SQL injection","ldap","/ldap/ldap_servers/src/Form/ServerTestForm.php","413"
"SQL injection","ldap","/ldap/ldap_servers/src/LdapBaseManager.php","160"
"SQL injection","ldap","/ldap/ldap_servers/src/LdapBaseManager.php","193"
"SQL injection","ldap","/ldap/ldap_servers/src/LdapBaseManager.php","228"
"SQL injection","ldap","/ldap/ldap_servers/src/LdapBaseManager.php","464"
"SQL injection","ldap","/ldap/ldap_servers/src/LdapBaseManager.php","465"
"SQL injection","ldap","/ldap/ldap_servers/src/LdapGroupManager.php","61"
"SQL injection","ldap","/ldap/ldap_servers/src/LdapGroupManager.php","580"
"SQL injection","ldap","/ldap/ldap_servers/src/LdapGroupManager.php","662"
"Unsafe deserialization","key","/key/src/Plugin/KeyType/AuthenticationMultivalueKeyType.php","54"
"Reflected XSS","lobby","/lobby/pear/HTTP.php","235"
"Server-side request forgery","matomo","/matomo/src/Form/MatomoAdminSettingsForm.php","889"
"Reflected XSS","mailchimp","/mailchimp/modules/mailchimp_events/modules/mailchimp_events_example/src/Form/AddMailchimpEvent.php","152"
"Reflected XSS","mailchimp","/mailchimp/modules/mailchimp_events/modules/mailchimp_events_example/src/Form/ListMailchimpEventsForMember.php","147"
"Reflected XSS","mailchimp","/mailchimp/modules/mailchimp_events/modules/mailchimp_events_example/src/Form/ListMailchimpEventsForMember.php","148"
"Path traversal","mimemail","/mimemail/src/Utility/MimeMailFormatHelper.php","731"
"Command injection","nutch","/nutch/nutch.admin.inc","202"
"Command injection","nutch","/nutch/nutch.admin.inc","211"
"SQL injection","potx","/potx/potx.inc","592"
"SQL injection","potx","/potx/potx.inc","606"
"SQL injection","potx","/potx/potx.inc","630"
"Path traversal","potx","/potx/potx.inc","3023"
"Reflected XSS","plain1","/plain1/page.tpl.php","58"
"Unsafe deserialization","privatemsg","/privatemsg/src/Form/PrivatemsgMessageForm.php","129"
"Code injection","redirect","/redirect/src/Entity/Redirect.php","337"
"Reflected XSS","reflection","/reflection/page-admin.tpl.php","56"
"Reflected XSS","reflection","/reflection/page.tpl.php","57"
"SQL injection","reptag","/reptag/reptag_helper.inc","59"
"Code injection","reptag","/reptag/reptag_module.inc","188"
"File inclusion","reptag","/reptag/reptag_module.inc","183"
"Command injection","securesite","/securesite/securesite.inc","153"
"Server-side request forgery","security_review","/security_review/src/Plugin/SecurityCheck/Headers.php","73"
"Reflected XSS","seckit","/seckit/src/Controller/SeckitExportController.php","83"
"Path traversal","simple_oauth","/simple_oauth/src/Service/Filesystem/FileSystemChecker.php","44"
"Path traversal","sparkline","/sparkline/sparklib/samples/stock_chart.php","52"
"Path traversal","sparkline","/sparkline/sparklib/samples/stock_chart2.php","48"
"Path traversal","sparkline","/sparkline/sparklib/samples/stock_chart3.php","45"
"Path traversal","pacs","/pacs/pacs_xml.inc","129"
"Path traversal","symfony_mailer","/symfony_mailer/src/Processor/automatic/AttachmentAccessEmailProcessor.php","63"
"Reflected XSS","tablemanager","/tablemanager/includes/tables.inc","378"
"Path traversal","taxonomy_xml","/taxonomy_xml/services/local.taxonomy_service.inc","79"
"Path traversal","theme_editor","/theme_editor/theme_editor.inc","413"
"Path traversal","theme_editor","/theme_editor/theme_editor.inc","478"
"Path traversal","theme_editor","/theme_editor/theme_editor.inc","501"
"Path traversal","theme_editor","/theme_editor/theme_editor.inc","503"
"Path traversal","theme_editor","/theme_editor/theme_editor.inc","528"
"Path traversal","theme_editor","/theme_editor/theme_editor.inc","545"
"Path traversal","theme_editor","/theme_editor/theme_editor.inc","552"
"Path traversal","theme_editor","/theme_editor/theme_editor.inc","586"
