Cacti_cacti,release/1.2.31,98M
Dolibarr_dolibarr,23.0.3,399M
LimeSurvey_LimeSurvey,3.29.2,310M
concretecms_concretecms,9.5.2,170M
getgrav_grav,2.0.14,17M
glpi-project_glpi,11.0.8,176M
magento_magento2,2.4.9,433M
matomo-org_matomo,5.12.0,179M
mautic_mautic,7.1.3,140M
moodle_moodle,v5.2.1,691M
nextcloud_server,v34.0.2,375M
opencart_opencart,4.1.0.3,231M
osTicket_osTicket,v1.18.4,162M
phpList_phplist3,v3.6.16,26M
phpbb_phpbb,release-3.3.17,39M
phpmyadmin_phpmyadmin,RELEASE_5_2_3,102M
roundcube_roundcubemail,1.7.2,28M
salesagility_SuiteCRM,v7.15.2,111M
shopware_platform,v6.2.3,135M
wikimedia_mediawiki,1.46.0,244M
