source,module,controller_param,auth_required,ajax,file
module,prestashop-clean-urls,productcontroller,unset(false),no,prestashop-modules/prestashop-clean-urls/override/controllers/front/ProductController.php
module,prestashop-clean-urls,cmscontroller,unset(false),no,prestashop-modules/prestashop-clean-urls/override/controllers/front/CmsController.php
module,prestashop-clean-urls,categorycontroller,unset(false),no,prestashop-modules/prestashop-clean-urls/override/controllers/front/CategoryController.php
module,prestashop-clean-urls,suppliercontroller,unset(false),no,prestashop-modules/prestashop-clean-urls/override/controllers/front/SupplierController.php
module,prestashop-clean-urls,manufacturercontroller,unset(false),no,prestashop-modules/prestashop-clean-urls/override/controllers/front/ManufacturerController.php
module,PrestaShop-Bitcoin-Payment-Gateway-Module,payment,unset(false),no,prestashop-modules/PrestaShop-Bitcoin-Payment-Gateway-Module/controllers/front/payment.php
module,PrestaShop-Bitcoin-Payment-Gateway-Module,validation,unset(false),no,prestashop-modules/PrestaShop-Bitcoin-Payment-Gateway-Module/controllers/front/validation.php
module,PrestaShop-Bitcoin-Payment-Gateway-Module,redirect,unset(false),no,prestashop-modules/PrestaShop-Bitcoin-Payment-Gateway-Module/controllers/front/redirect.php
module,PrestaShop-Bitcoin-Payment-Gateway-Module,cancel,unset(false),no,prestashop-modules/PrestaShop-Bitcoin-Payment-Gateway-Module/controllers/front/cancel.php
module,PrestaShop-Bitcoin-Payment-Gateway-Module,callback,unset(false),no,prestashop-modules/PrestaShop-Bitcoin-Payment-Gateway-Module/controllers/front/callback.php
module,ps_feeder,rss,unset(false),no,prestashop-modules/ps_feeder/controllers/front/rss.php
module,ps_emailalerts,actions,unset(false),no,prestashop-modules/ps_emailalerts/controllers/front/actions.php
module,ps_emailalerts,account,unset(false),no,prestashop-modules/ps_emailalerts/controllers/front/account.php
module,psrbordermanagement,unfreeze,unset(false),no,prestashop-modules/psrbordermanagement/controllers/front/unfreeze.php
module,psrbordermanagement,update,unset(false),no,prestashop-modules/psrbordermanagement/controllers/front/update.php
module,psrbordermanagement,booked,unset(false),no,prestashop-modules/psrbordermanagement/controllers/front/booked.php
module,psrbordermanagement,test,unset(false),no,prestashop-modules/psrbordermanagement/controllers/front/test.php
module,cashondelivery,validation,unset(false),no,prestashop-modules/cashondelivery/controllers/front/validation.php
module,ps_facetedsearch,cron,unset(false),no,prestashop-modules/ps_facetedsearch/controllers/front/cron.php
module,prestashop-module,search,unset(false),no,prestashop-modules/prestashop-module/controllers/front/search.php
module,prestashop-module,proxy,unset(false),yes,prestashop-modules/prestashop-module/controllers/front/proxy.php
module,prestashop,viewticket,unset(false),yes,prestashop-modules/prestashop/wkuvdeskticketsystem/controllers/front/viewticket.php
module,prestashop,customerticketlist,unset(false),no,prestashop-modules/prestashop/wkuvdeskticketsystem/controllers/front/customerticketlist.php
module,prestashop,createticket,unset(false),no,prestashop-modules/prestashop/wkuvdeskticketsystem/controllers/front/createticket.php
module,blockwishlist,lists,true,no,prestashop-modules/blockwishlist/controllers/front/lists.php
module,blockwishlist,view,unset(false),no,prestashop-modules/blockwishlist/controllers/front/view.php
module,blockwishlist,action,unset(false),no,prestashop-modules/blockwishlist/controllers/front/action.php
module,blocknewsletter,verification,unset(false),no,prestashop-modules/blocknewsletter/controllers/front/verification.php
module,zzCleanURLs,productcontroller,unset(false),no,prestashop-modules/zzCleanURLs/override/controllers/front/ProductController.php
module,zzCleanURLs,cmscontroller,unset(false),no,prestashop-modules/zzCleanURLs/override/controllers/front/CmsController.php
module,zzCleanURLs,categorycontroller,unset(false),no,prestashop-modules/zzCleanURLs/override/controllers/front/CategoryController.php
module,zzCleanURLs,suppliercontroller,unset(false),no,prestashop-modules/zzCleanURLs/override/controllers/front/SupplierController.php
module,zzCleanURLs,manufacturercontroller,unset(false),no,prestashop-modules/zzCleanURLs/override/controllers/front/ManufacturerController.php
module,ps_facebook,apihealthcheck,unset(false),no,prestashop-modules/ps_facebook/controllers/front/apiHealthCheck.php
module,ps_facebook,ajax,unset(false),no,prestashop-modules/ps_facebook/controllers/front/Ajax.php
module,referralprogram,program,unset(false),no,prestashop-modules/referralprogram/controllers/front/program.php
module,referralprogram,rules,unset(false),no,prestashop-modules/referralprogram/controllers/front/rules.php
module,referralprogram,email,unset(false),no,prestashop-modules/referralprogram/controllers/front/email.php
module,psgdpr,gdpr,unset(false),no,prestashop-modules/psgdpr/controllers/front/gdpr.php
module,psgdpr,exportcustomerdata,unset(false),no,prestashop-modules/psgdpr/controllers/front/ExportCustomerData.php
module,psgdpr,frontajaxgdpr,unset(false),no,prestashop-modules/psgdpr/controllers/front/FrontAjaxGdpr.php
module,cocolis-prestashop,webhooks,unset(false),no,prestashop-modules/cocolis-prestashop/controllers/front/webhooks.php
module,productcomments,postcomment,unset(false),no,prestashop-modules/productcomments/controllers/front/PostComment.php
module,productcomments,reportcomment,unset(false),no,prestashop-modules/productcomments/controllers/front/ReportComment.php
module,productcomments,listcomments,unset(false),no,prestashop-modules/productcomments/controllers/front/ListComments.php
module,productcomments,updatecommentusefulness,unset(false),no,prestashop-modules/productcomments/controllers/front/UpdateCommentUsefulness.php
module,productcomments,commentgrade,unset(false),no,prestashop-modules/productcomments/controllers/front/CommentGrade.php
module,magendoowithdrawal,success,false,no,prestashop-modules/magendoowithdrawal/controllers/front/success.php
module,magendoowithdrawal,submit,false,no,prestashop-modules/magendoowithdrawal/controllers/front/submit.php
module,magendoowithdrawal,cron,false,no,prestashop-modules/magendoowithdrawal/controllers/front/cron.php
module,magendoowithdrawal,review,false,no,prestashop-modules/magendoowithdrawal/controllers/front/review.php
module,magendoowithdrawal,form,false,no,prestashop-modules/magendoowithdrawal/controllers/front/form.php
module,magendoowithdrawal,start,false,no,prestashop-modules/magendoowithdrawal/controllers/front/start.php
module,psrbsimplified,session,unset(false),no,prestashop-modules/psrbsimplified/controllers/front/session.php
module,psrbsimplified,fetchaddress,unset(false),no,prestashop-modules/psrbsimplified/controllers/front/fetchaddress.php
module,psrbsimplified,fail,unset(false),no,prestashop-modules/psrbsimplified/controllers/front/fail.php
module,psrbsimplified,signing,unset(false),no,prestashop-modules/psrbsimplified/controllers/front/signing.php
module,psrbsimplified,validate,unset(false),no,prestashop-modules/psrbsimplified/controllers/front/validate.php
module,psrbsimplified,removeaddress,unset(false),no,prestashop-modules/psrbsimplified/controllers/front/removeaddress.php
module,ps_wirepayment,payment,unset(false),no,prestashop-modules/ps_wirepayment/controllers/front/payment.php
module,ps_wirepayment,validation,unset(false),no,prestashop-modules/ps_wirepayment/controllers/front/validation.php
module,ps_checkpayment,payment,unset(false),no,prestashop-modules/ps_checkpayment/controllers/front/payment.php
module,ps_checkpayment,validation,unset(false),no,prestashop-modules/ps_checkpayment/controllers/front/validation.php
module,ps_checkout,expresscheckout,unset(false),no,prestashop-modules/ps_checkout/ps17/controllers/front/ExpressCheckout.php
module,ps_checkout,payment,unset(false),no,prestashop-modules/ps_checkout/ps17/controllers/front/payment.php
module,ps_checkout,vault,unset(false),no,prestashop-modules/ps_checkout/ps17/controllers/front/vault.php
module,ps_checkout,webhook,false,no,prestashop-modules/ps_checkout/ps17/controllers/front/webhook.php
module,ps_checkout,dispatchwebhook,false,no,prestashop-modules/ps_checkout/ps17/controllers/front/DispatchWebHook.php
module,ps_checkout,applepay,unset(false),no,prestashop-modules/ps_checkout/ps17/controllers/front/applepay.php
module,ps_checkout,googlepay,unset(false),no,prestashop-modules/ps_checkout/ps17/controllers/front/googlepay.php
module,ps_checkout,validate,unset(false),no,prestashop-modules/ps_checkout/ps17/controllers/front/validate.php
module,ps_checkout,create,unset(false),no,prestashop-modules/ps_checkout/ps17/controllers/front/create.php
module,ps_checkout,cancel,unset(false),no,prestashop-modules/ps_checkout/ps17/controllers/front/cancel.php
module,ps_checkout,check,unset(false),no,prestashop-modules/ps_checkout/ps17/controllers/front/check.php
module,ps_checkout,expresscheckout,unset(false),no,prestashop-modules/ps_checkout/ps9/controllers/front/ExpressCheckout.php
module,ps_checkout,payment,unset(false),no,prestashop-modules/ps_checkout/ps9/controllers/front/payment.php
module,ps_checkout,vault,unset(false),no,prestashop-modules/ps_checkout/ps9/controllers/front/vault.php
module,ps_checkout,webhook,false,no,prestashop-modules/ps_checkout/ps9/controllers/front/webhook.php
module,ps_checkout,dispatchwebhook,false,no,prestashop-modules/ps_checkout/ps9/controllers/front/DispatchWebHook.php
module,ps_checkout,applepay,unset(false),no,prestashop-modules/ps_checkout/ps9/controllers/front/applepay.php
module,ps_checkout,googlepay,unset(false),no,prestashop-modules/ps_checkout/ps9/controllers/front/googlepay.php
module,ps_checkout,validate,unset(false),no,prestashop-modules/ps_checkout/ps9/controllers/front/validate.php
module,ps_checkout,create,unset(false),no,prestashop-modules/ps_checkout/ps9/controllers/front/create.php
module,ps_checkout,cancel,unset(false),no,prestashop-modules/ps_checkout/ps9/controllers/front/cancel.php
module,ps_checkout,check,unset(false),no,prestashop-modules/ps_checkout/ps9/controllers/front/check.php
module,ps_checkout,expresscheckout,unset(false),no,prestashop-modules/ps_checkout/ps8/controllers/front/ExpressCheckout.php
module,ps_checkout,payment,unset(false),no,prestashop-modules/ps_checkout/ps8/controllers/front/payment.php
module,ps_checkout,vault,unset(false),no,prestashop-modules/ps_checkout/ps8/controllers/front/vault.php
module,ps_checkout,webhook,false,no,prestashop-modules/ps_checkout/ps8/controllers/front/webhook.php
module,ps_checkout,dispatchwebhook,false,no,prestashop-modules/ps_checkout/ps8/controllers/front/DispatchWebHook.php
module,ps_checkout,applepay,unset(false),no,prestashop-modules/ps_checkout/ps8/controllers/front/applepay.php
module,ps_checkout,googlepay,unset(false),no,prestashop-modules/ps_checkout/ps8/controllers/front/googlepay.php
module,ps_checkout,validate,unset(false),no,prestashop-modules/ps_checkout/ps8/controllers/front/validate.php
module,ps_checkout,create,unset(false),no,prestashop-modules/ps_checkout/ps8/controllers/front/create.php
module,ps_checkout,cancel,unset(false),no,prestashop-modules/ps_checkout/ps8/controllers/front/cancel.php
module,ps_checkout,check,unset(false),no,prestashop-modules/ps_checkout/ps8/controllers/front/check.php
module,cronjobs,callback,unset(false),no,prestashop-modules/cronjobs/controllers/front/callback.php
module,eicaptcha,authcontroller,unset(false),no,prestashop-modules/eicaptcha/override/controllers/front/AuthController.php
module,eicaptcha,ordercontroller,unset(false),no,prestashop-modules/eicaptcha/override/controllers/front/OrderController.php
module,pskyc,verify,unset(false),no,prestashop-modules/pskyc/controllers/front/verify.php
module,pskyc,cron,unset(false),no,prestashop-modules/pskyc/controllers/front/cron.php
module,pskyc,verifycontrollerfronttest,unset(false),no,prestashop-modules/pskyc/tests/PsKyc/controllers/front/VerifyControllerFrontTest.php
module,pskyc,croncontrollerfronttest,unset(false),no,prestashop-modules/pskyc/tests/PsKyc/controllers/front/CronControllerFrontTest.php
module,ps_carriercomparison,carrier_comparison,unset(false),no,prestashop-modules/ps_carriercomparison/controllers/front/carrier_comparison.php
module,ps_shoppingcart,ajax,unset(false),no,prestashop-modules/ps_shoppingcart/controllers/front/ajax.php
module,ccvonlinepayments-prestashop,payment,unset(false),no,prestashop-modules/ccvonlinepayments-prestashop/controllers/front/payment.php
module,ccvonlinepayments-prestashop,webhook,unset(false),no,prestashop-modules/ccvonlinepayments-prestashop/controllers/front/webhook.php
module,ccvonlinepayments-prestashop,statuspoll,unset(false),no,prestashop-modules/ccvonlinepayments-prestashop/controllers/front/statuspoll.php
module,ccvonlinepayments-prestashop,return,unset(false),no,prestashop-modules/ccvonlinepayments-prestashop/controllers/front/return.php
module,pow-captcha-for-prestashop,ajax,unset(false),yes,prestashop-modules/pow-captcha-for-prestashop/controllers/front/ajax.php
module,prestashop-riskpay,payment,unset(false),no,prestashop-modules/prestashop-riskpay/controllers/front/payment.php
module,prestashop-riskpay,validation,unset(false),no,prestashop-modules/prestashop-riskpay/controllers/front/validation.php
module,prestashop-fastpay_payment_gateway,payment,unset(false),no,prestashop-modules/prestashop-fastpay_payment_gateway/controllers/front/payment.php
module,prestashop-fastpay_payment_gateway,validation,unset(false),no,prestashop-modules/prestashop-fastpay_payment_gateway/controllers/front/validation.php
module,prestaShop-composer,payment,unset(false),no,prestashop-modules/prestaShop-composer/controllers/front/payment.php
module,prestaShop-composer,validation,unset(false),no,prestashop-modules/prestaShop-composer/controllers/front/validation.php
module,prestaShop-composer,redirect,unset(false),no,prestashop-modules/prestaShop-composer/controllers/front/redirect.php
module,prestaShop-composer,cancel,unset(false),no,prestashop-modules/prestaShop-composer/controllers/front/cancel.php
module,prestaShop-composer,callback,unset(false),no,prestashop-modules/prestaShop-composer/controllers/front/callback.php
module,prestashopamp,category,unset(false),no,prestashop-modules/prestashopamp/controllers/front/category.php
module,prestashopamp,product,unset(false),no,prestashop-modules/prestashopamp/controllers/front/product.php
module,resurs-checkout-prestashop17,savedelivery,unset(false),yes,prestashop-modules/resurs-checkout-prestashop17/controllers/front/savedelivery.php
module,resurs-checkout-prestashop17,checkout,unset(false),no,prestashop-modules/resurs-checkout-prestashop17/controllers/front/checkout.php
module,resurs-checkout-prestashop17,cart,unset(false),yes,prestashop-modules/resurs-checkout-prestashop17/controllers/front/cart.php
module,resurs-checkout-prestashop17,savebilling,unset(false),no,prestashop-modules/resurs-checkout-prestashop17/controllers/front/savebilling.php
module,resurs-checkout-prestashop17,success,unset(false),no,prestashop-modules/resurs-checkout-prestashop17/controllers/front/success.php
module,resurs-checkout-prestashop17,saveorder,unset(false),no,prestashop-modules/resurs-checkout-prestashop17/controllers/front/saveorder.php
module,resurs-checkout-prestashop17,callback,unset(false),no,prestashop-modules/resurs-checkout-prestashop17/controllers/front/callback.php
module,resurs-checkout-prestashop17,saveshipping,unset(false),no,prestashop-modules/resurs-checkout-prestashop17/controllers/front/saveshipping.php
module,resurs-checkout-prestashop17,savepayment,unset(false),no,prestashop-modules/resurs-checkout-prestashop17/controllers/front/savepayment.php
module,resurs-checkout-prestashop17,costofpurchase,unset(false),no,prestashop-modules/resurs-checkout-prestashop17/controllers/front/costofpurchase.php
module,resurs-checkout-prestashop17,failure,unset(false),no,prestashop-modules/resurs-checkout-prestashop17/controllers/front/failure.php
module,favoriteproducts,actions,unset(false),no,prestashop-modules/favoriteproducts/controllers/front/actions.php
module,favoriteproducts,account,unset(false),no,prestashop-modules/favoriteproducts/controllers/front/account.php
module,Prestashop-Becopay-Gateway,payment,unset(false),no,prestashop-modules/Prestashop-Becopay-Gateway/becopay/controllers/front/payment.php
module,Prestashop-Becopay-Gateway,validation,unset(false),no,prestashop-modules/Prestashop-Becopay-Gateway/becopay/controllers/front/validation.php
module,ps_emailsubscription,verification,unset(false),no,prestashop-modules/ps_emailsubscription/controllers/front/verification.php
module,ps_emailsubscription,subscription,unset(false),no,prestashop-modules/ps_emailsubscription/controllers/front/subscription.php
module,de_seb,validation,unset(false),no,prestashop-modules/de_seb/controllers/front/validation.php
module,de_seb,return,unset(false),no,prestashop-modules/de_seb/controllers/front/return.php
module,gsitemap,cron,unset(false),no,prestashop-modules/gsitemap/controllers/front/cron.php
module,ps_buybuttonlite,redirectmanager,unset(false),no,prestashop-modules/ps_buybuttonlite/controllers/front/RedirectManager.php
module,paymentexample,validation,unset(false),no,prestashop-modules/paymentexample/controllers/front/validation.php
module,paymentexample,cancel,unset(false),no,prestashop-modules/paymentexample/controllers/front/cancel.php
module,paymentexample,account,true,no,prestashop-modules/paymentexample/controllers/front/account.php
module,paymentexample,external,unset(false),no,prestashop-modules/paymentexample/controllers/front/external.php
